id,focus,signal,slack,drag,confidence,score,lane
l001,rename risk,35,33,6,25,168,watch
l002,operator cost,35,34,6,55,230,ship
l003,idempotence,35,35,6,85,292,ship
l004,dry-run spread,35,36,18,25,138,watch
l005,rename risk,35,37,18,55,200,ship
l006,operator cost,35,38,18,85,262,ship
l007,idempotence,35,39,34,25,96,hold
l008,dry-run spread,35,40,34,55,158,watch
l009,rename risk,35,41,34,85,220,ship
l010,operator cost,60,42,6,25,236,ship
l011,idempotence,60,43,6,55,298,ship
l012,dry-run spread,60,44,6,85,360,ship
l013,rename risk,60,45,18,25,206,ship
l014,operator cost,60,46,18,55,268,ship
l015,idempotence,60,47,18,85,330,ship
l016,dry-run spread,60,48,34,25,164,watch
l017,rename risk,60,32,34,55,192,ship
l018,operator cost,60,33,34,85,254,ship
l019,idempotence,85,34,6,25,270,ship
l020,dry-run spread,85,35,6,55,332,ship
l021,rename risk,85,36,6,85,394,ship
l022,operator cost,85,37,18,25,240,ship
l023,idempotence,85,38,18,55,302,ship
l024,dry-run spread,85,39,18,85,364,ship
l025,rename risk,85,40,34,25,198,ship
l026,operator cost,85,41,34,55,260,ship
l027,idempotence,85,42,34,85,322,ship
